date,equity,cash,position_value,AI_US_Sectors_Basic_position,AI_US_Sectors_Basic_shares,AI_US_Sectors_Basic_value,AI_Global_Developed_position,AI_Global_Developed_shares,AI_Global_Developed_value,AI_Real_Assets_position,AI_Real_Assets_shares,AI_Real_Assets_value
2008-05-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-05-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-25,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-06-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-01,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-07,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-25,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-07-31,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-01,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-07,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-25,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-08-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-25,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-09-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-01,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-07,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-10-31,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-07,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-25,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-11-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-01,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2008-12-31,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-07,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-01-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-25,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-02-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-25,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-03-31,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-01,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-07,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-04-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-01,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-07,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-05-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-01,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-25,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-06-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-01,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-07,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-08,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-09,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-15,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-16,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-22,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-23,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-29,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-30,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-07-31,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-03,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-04,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-05,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-06,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-07,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-10,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-11,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-12,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-13,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-14,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-17,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-18,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-19,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-20,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-21,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-24,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-25,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-26,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-27,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-28,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-08-31,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-09-01,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
2009-09-02,100000.0,100000.0,0.0,,0,0.0,,0,0.0,,0,0.0
